#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
981,Josh H. Smith,669701,669701,26396,11441,*052ru*,TEX,1B/SS/ 3B/OF,1B/SS/ 3B/OF,Smith,Josh H.,Smith,Josh H.,Josh Smith
982,Jared Triolo,669707,669707,25807,11668,*05128*,PIT,1B/2B/ SS/3B,1B/2B/ SS/3B,Triolo,Jared,Triolo,Jared,Jared Triolo
983,Greg Weissert,669711,669711,20375,10585,*0421q*,BOS,RP,RP,Weissert,Greg,Weissert,Greg,Greg Weissert
984,Hayden Wesneski,669713,669713,27581,11411,*0514f*,HOU,SP,SP,Wesneski,Hayden,Wesneski,Hayden,Hayden Wesneski
985,Will Wilson,669717,669717,25434,11104,*04yia*,CLE,3B,3B,Wilson,Will,Wilson,Will,Will Wilson
986,Austin Hays,669720,669720,19363,9763,*041qs*,CIN,OF,OF,Hays,Austin,Hays,Austin,Austin Hays
987,Davis Daniel,669721,669721,27582,11492,*04pv6*,ATL,SP,SP,Daniel,Davis,Daniel,Davis,Davis Daniel
988,Logan Davidson,669722,669722,25844,10858,*04n1n*,LAA,SS,SS,Davidson,Logan,Davidson,Logan,Logan Davidson
989,Brenan Hanifee,669724,669724,22304,11873,*041rq*,DET,RP,RP,Hanifee,Brenan,Hanifee,Brenan,Brenan Hanifee
990,Chris Rodriguez,669735,669735,22310,10162,*041rr*,CHW,RP,RP,Rodriguez,Chris,Rodriguez,Chris,Chris Rodriguez
991,Darick Hall,669742,669742,19717,11015,*041yc*,PIT,1B,1B,Hall,Darick,Hall,Darick,Darick Hall
992,Alex Call,669743,669743,19296,10520,*041qv*,LAD,OF,OF,Call,Alex,Call,Alex,Alex Call
993,Ronel Blanco,669854,669854,19407,11447,*04ydi*,HOU,SP,SP,Blanco,Ronel,Blanco,Ronel,Ronel Blanco
994,Michael Toglia,669911,669911,25845,11080,*04ok3*,COL,1B,1B/OF,Toglia,Michael,Toglia,Michael,Michael Toglia
995,Jason Alexander,669920,669920,19666,10574,*05xze*,HOU,SP,SP,Alexander,Jason,Alexander,Jason,Jason Alexander
996,George Kirby,669923,669923,25436,10874,*04yie*,SEA,SP,SP,Kirby,George,Kirby,George,George Kirby
997,Chavez Young,669945,669945,sa918963,10601,,MIL,OF,OF,Young,Chavez,Young,Chavez,
998,Jesse Scholtens,669947,669947,19205,11784,*041uv*,TB,RP,RP,Scholtens,Jesse,Scholtens,Jesse,Jesse Scholtens
